S. No.,GADE(Generalized Anxiety disorder),Percentage(RESULT),SWL(Satisfaction of work life),Game,Platform,Hours,earnings,whyplay,Gender,Age,Work,Degree,Birthplace,Residence
16,Somewhat difficult,26-50%,6,Other,PC,14,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),Australia,Australia
17,Not difficult at all,1-25%,3,Other,"Console (PS, Xbox, ...)",4,I play for fun,having fun,Female,24,Unemployed / between jobs,Bachelor (or equivalent),UK,UK
18,Not difficult at all,1-25%,2,Other,PC,20,I play for fun,"improving, having fun",Male,30,Employed,Bachelor (or equivalent),Bosnia and Herzegovina,Bosnia and Herzegovina
19,Somewhat difficult,26-50%,2,Skyrim,PC,10,I play for fun,relaxing,Male,29,Unemployed / between jobs,High school diploma (or equivalent),Germany,USA
20,Not difficult at all,1-25%,6,Other,"Console (PS, Xbox, ...)",6,I play for fun,relaxing,Male,22,Employed,Bachelor (or equivalent),UK,Ireland
21,Not difficult at all,1-25%,5,Other,"Console (PS, Xbox, ...)",7,I play for fun,having fun,Female,20,Employed,High school diploma (or equivalent),Finland,Finland
22,Extremely difficult,76-100%,4,Starcraft 2,PC,60,I play for fun,improving,Male,24,Student at college / university,High school diploma (or equivalent),Germany,Germany
23,Not difficult at all,1-25%,5,Other,PC,10,I play for fun,having fun,Male,33,Employed,"Ph.D., Psy. D., MD (or equivalent)",Canada,Canada
24,NA,0,7,World of Warcraft,PC,21,I play for fun,having fun,Male,41,Employed,Bachelor (or equivalent),UK,UK
25,Somewhat difficult,26-50%,1,Other,PC,20,I play for fun,having fun,Female,25,Unemployed / between jobs,Bachelor (or equivalent),UK,UK
26,Somewhat difficult,26-50%,1,Other,PC,21,I play for fun,having fun,Male,26,Unemployed / between jobs,Master (or equivalent),South Korea,Malaysia
27,Not difficult at all,1-25%,3,Skyrim,PC,20,I play for fun,having fun,Female,20,Student at college / university,High school diploma (or equivalent),UK,UK
28,Somewhat difficult,26-50%,5,League of Legends,PC,5,I play for fun,having fun,Male,36,Employed,Bachelor (or equivalent),Romania,Romania
29,Not difficult at all,1-25%,5,Other,"Console (PS, Xbox, ...)",40,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
30,Not difficult at all,1-25%,2,Other,PC,6,I play for fun,having fun,Male,18,Student at school,None,USA,USA
31,Not difficult at all,1-25%,1,Other,PC,9,I play for fun,having fun,Male,18,Student at school,None,USA,USA
32,Extremely difficult,76-100%,2,Other,PC,18,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Sweden,Sweden
33,Not difficult at all,1-25%,5,Other,PC,8,I play for fun,having fun,Male,26,Employed,Bachelor (or equivalent),Canada,Canada
34,NA,0,6,League of Legends,PC,9,I play for fun,improving,Female,23,Employed,High school diploma (or equivalent),UK,UK
35,Somewhat difficult,26-50%,2,Starcraft 2,PC,6,I play for fun,winning,Female,22,Unemployed / between jobs,High school diploma (or equivalent),UK,UK
36,Not difficult at all,1-25%,3,League of Legends,PC,7,I play for fun,having fun,Male,25,Student at college / university,Master (or equivalent),USA,USA
37,Somewhat difficult,26-50%,6,Other,PC,18,I play for fun,having fun,Female,22,Student at college / university,High school diploma (or equivalent),Greece,Greece
38,Somewhat difficult,26-50%,2,Other,"Console (PS, Xbox, ...)",18,I play for fun,improving,Male,24,Student at college / university,High school diploma (or equivalent),USA,USA
39,Somewhat difficult,26-50%,3,Other,"Console (PS, Xbox, ...)",10,I play for fun,having fun,Female,24,Student at college / university,High school diploma (or equivalent),Canada,Canada
40,Somewhat difficult,26-50%,3,Other,PC,20,I play for fun,having fun,Male,21,Student at college / university,Master (or equivalent),Ireland,Ireland
41,Very difficult,51-75%,2,Other,PC,10,I play for fun,having fun,Female,18,Student at college / university,High school diploma (or equivalent),Switzerland,USA
42,Somewhat difficult,26-50%,3,Other,PC,10,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),UK,UK
43,Not difficult at all,1-25%,5,Other,PC,12,I play for fun,having fun,Male,27,Employed,Bachelor (or equivalent),USA,USA
44,Somewhat difficult,26-50%,2,Counter Strike,PC,7,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),USA,USA
45,Somewhat difficult,26-50%,3,Other,"Console (PS, Xbox, ...)",5,I play for fun,winning,Male,24,Student at college / university,Bachelor (or equivalent),Canada,Canada
46,Somewhat difficult,26-50%,5,Counter Strike,PC,NA,I play for fun,winning,Male,20,Student at college / university,High school diploma (or equivalent),UK,UK
47,Somewhat difficult,26-50%,5,Other,PC,4,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),USA,USA
48,Somewhat difficult,26-50%,5,Other,PC,20,I play for fun,relaxing,Female,25,Employed,Bachelor (or equivalent),USA,USA
50,Very difficult,51-75%,2,League of Legends,PC,25,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),USA,USA
51,Somewhat difficult,26-50%,2,Other,"Console (PS, Xbox, ...)",18,I play for fun,having fun,Male,18,Student at college / university,None,USA,USA
52,Not difficult at all,1-25%,3,Other,PC,15,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Turkey,Turkey
53,Not difficult at all,1-25%,4,League of Legends,PC,10,I play for fun,having fun,Male,28,Unemployed / between jobs,Bachelor (or equivalent),UK,UK
54,Somewhat difficult,26-50%,6,Other,PC,30,I play for fun,having fun,Female,21,Student at college / university,High school diploma (or equivalent),USA,USA
55,Somewhat difficult,26-50%,6,Other,"Console (PS, Xbox, ...)",11,I play for fun,having fun,Female,22,Student at college / university,High school diploma (or equivalent),USA,USA
56,Very difficult,51-75%,1,Other,PC,0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
57,Not difficult at all,1-25%,2,Counter Strike,PC,30,I play for fun,improving,Male,18,Student at school,None,Bulgaria,UK
59,Not difficult at all,1-25%,7,Other,"Console (PS, Xbox, ...)",10,I play for fun,having fun,Male,24,Student at college / university,Master (or equivalent),USA,USA
60,Somewhat difficult,26-50%,1,Other,PC,20,I play for fun,having fun,Male,20,Unemployed / between jobs,High school diploma (or equivalent),Canada,Canada
61,Somewhat difficult,26-50%,3,Other,PC,0,I play for fun,having fun,Male,19,Student at college / university,None,Canada,Canada
62,Somewhat difficult,26-50%,5,Other,PC,40,I play for fun,having fun,Male,27,Employed,Bachelor (or equivalent),Sweden,Sweden
63,Not difficult at all,1-25%,4,Counter Strike,PC,18,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,18,Student at college / university,High school diploma (or equivalent),USA,USA
64,Somewhat difficult,26-50%,2,World of Warcraft,PC,5,I play for fun,having fun,Female,30,Employed,Master (or equivalent),USA,Germany
65,Very difficult,51-75%,4,Other,"Console (PS, Xbox, ...)",25,I play for fun,having fun,Female,18,Student at school,None,UK,UK
66,Very difficult,51-75%,1,Other,PC,1,I play for fun,relaxing,Female,18,Student at college / university,High school diploma (or equivalent),UK,USA
67,Very difficult,51-75%,1,Other,"Console (PS, Xbox, ...)",14,I play for fun,relaxing,Male,22,Student at college / university,Bachelor (or equivalent),USA,USA
68,Not difficult at all,1-25%,7,Other,PC,2,I play for fun,relaxing,Female,24,Student at college / university,Bachelor (or equivalent),Belgium,Belgium
69,Somewhat difficult,26-50%,4,Destiny,"Console (PS, Xbox, ...)",12,I play for fun,winning,Male,18,Student at college / university,High school diploma (or equivalent),USA,USA
70,NA,0,4,Other,PC,40,I play for fun,having fun,Male,19,Student at school,High school diploma (or equivalent),USA,USA
71,Not difficult at all,1-25%,2,Other,PC,10,I play for fun,improving,Male,40,Employed,High school diploma (or equivalent),Canada,Canada
72,Not difficult at all,1-25%,5,Other,PC,10,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),USA,USA
73,Not difficult at all,1-25%,7,Counter Strike,PC,7,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
74,Not difficult at all,1-25%,4,Other,PC,25,I play for fun,All,Male,23,Employed,Bachelor (or equivalent),USA,USA
75,Extremely difficult,76-100%,2,Other,PC,10,I play for fun,winning,Male,24,Student at college / university,Bachelor (or equivalent),Canada,Canada
76,Not difficult at all,1-25%,4,League of Legends,PC,25,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Latvia,Latvia
77,Somewhat difficult,26-50%,3,Other,PC,25,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),USA,USA
78,Not difficult at all,1-25%,4,Other,PC,10,I play for fun,improving,Male,23,Student at college / university,Bachelor (or equivalent),Austria,Austria
79,Somewhat difficult,26-50%,2,Other,PC,30,I play for fun,having fun,Male,21,Student at college / university,Bachelor (or equivalent),UK,UK
80,Somewhat difficult,26-50%,1,League of Legends,PC,20,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Australia,Australia
81,Very difficult,51-75%,3,League of Legends,PC,40,I play for fun,winning,Male,21,Student at school,High school diploma (or equivalent),USA,USA
82,NA,0,5,Other,PC,5,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),UK,UK
83,Somewhat difficult,26-50%,2,Other,"Console (PS, Xbox, ...)",25,I play for fun,having fun,Female,34,Unemployed / between jobs,Master (or equivalent),USA,USA
84,Not difficult at all,1-25%,7,Other,"Console (PS, Xbox, ...)",10,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
85,Not difficult at all,1-25%,5,Other,Smartphone / Tablet,5,I play for fun,having fun,Male,50,Employed,Master (or equivalent),USA,Japan
86,Very difficult,51-75%,3,League of Legends,PC,10,I play for fun,improving,Female,20,Employed,High school diploma (or equivalent),USA,USA
87,Somewhat difficult,26-50%,5,Other,PC,20,I play for fun,having fun,Female,21,Student at college / university,High school diploma (or equivalent),Canada,Canada
88,Not difficult at all,1-25%,4,Diablo 3,PC,45,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
89,Somewhat difficult,26-50%,5,Other,PC,11,I play for fun,having fun,Male,28,Employed,Master (or equivalent),Canada,Canada
90,Somewhat difficult,26-50%,2,Other,PC,12,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),UK,UK
91,Somewhat difficult,26-50%,2,Other,PC,25,I play for fun,improving,Male,24,Student at college / university,Bachelor (or equivalent),Canada,Canada
92,Somewhat difficult,26-50%,1,Other,Smartphone / Tablet,9,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
93,Somewhat difficult,26-50%,3,Starcraft 2,PC,6,I play for fun,relaxing,Male,22,Student at college / university,Bachelor (or equivalent),USA,USA
94,Somewhat difficult,26-50%,5,League of Legends,PC,20,I play for fun,having fun,Male,19,Student at college / university,None,USA,USA
95,Very difficult,51-75%,1,Other,"Console (PS, Xbox, ...)",6,I play for fun,relaxing,Female,18,Student at school,High school diploma (or equivalent),USA,USA
96,Not difficult at all,1-25%,1,Other,PC,20,I play for fun,I play it as I watch TV or movies.  I've gone through many a Netflix binge with Isaac.,Female,22,Student at college / university,High school diploma (or equivalent),USA,USA
97,Extremely difficult,76-100%,2,Other,"Console (PS, Xbox, ...)",10,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),USA,USA
99,Somewhat difficult,26-50%,3,Starcraft 2,PC,8,I play for fun,winning,Male,20,Student at college / university,Bachelor (or equivalent),Germany,Germany
100,NA,0,4,Starcraft 2,PC,25,I play for fun,winning,Male,18,Student at school,None,UK,UK
101,Not difficult at all,1-25%,3,Starcraft 2,PC,25,I play for fun,winning,Male,22,Employed,Bachelor (or equivalent),South Africa,South Africa
102,Somewhat difficult,26-50%,3,Starcraft 2,PC,16,for fun and to get better,improving,Male,22,Student at college / university,High school diploma (or equivalent),Germany,Germany
103,Not difficult at all,1-25%,2,League of Legends,PC,20,I play for fun,improving,Male,27,Student at college / university,High school diploma (or equivalent),Germany,Germany
104,NA,0,2,Starcraft 2,PC,15,I play for fun,improving,Male,20,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
105,Not difficult at all,1-25%,6,Other,PC,50,I play for fun,improving,Male,20,Unemployed / between jobs,High school diploma (or equivalent),Croatia,Croatia
106,Very difficult,51-75%,1,League of Legends,PC,12,I play for fun,winning,Male,18,Student at college / university,High school diploma (or equivalent),UK,UK
107,Extremely difficult,76-100%,1,League of Legends,PC,28,I play for fun,having fun,Male,19,Unemployed / between jobs,High school diploma (or equivalent),Germany,Switzerland
108,Somewhat difficult,26-50%,1,League of Legends,PC,25,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Croatia,Croatia
109,Not difficult at all,1-25%,6,League of Legends,PC,42,I play for fun,having fun,Male,27,Employed,Bachelor (or equivalent),India,India
110,Extremely difficult,76-100%,1,League of Legends,PC,20,I play for fun,having fun,Female,21,Employed,High school diploma (or equivalent),USA,Germany
111,Somewhat difficult,26-50%,1,League of Legends,PC,14,I play for fun,relaxing,Male,18,Student at college / university,High school diploma (or equivalent),Netherlands,Netherlands
112,Somewhat difficult,26-50%,1,Starcraft 2,PC,80,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",Reaching goal i.e. GM ,Male,18,Student at college / university,None,UK,UK
113,Somewhat difficult,26-50%,1,League of Legends,PC,50,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
114,Somewhat difficult,26-50%,2,League of Legends,PC,40,I play for fun,having fun,Male,22,Student at college / university,High school diploma (or equivalent),Denmark,Denmark
116,Somewhat difficult,26-50%,2,League of Legends,PC,10,I play for fun,having fun,Female,20,Employed,High school diploma (or equivalent),Portugal,Portugal
117,Not difficult at all,1-25%,6,Starcraft 2,PC,10,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,22,Student at college / university,High school diploma (or equivalent),UK,UK
118,Somewhat difficult,26-50%,1,League of Legends,PC,28,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,21,Student at college / university,Bachelor (or equivalent),France,France
119,Somewhat difficult,26-50%,1,League of Legends,PC,30,I play for fun,having fun,Male,20,Unemployed / between jobs,Bachelor (or equivalent),France,France
120,Not difficult at all,1-25%,1,Heroes of the Storm,PC,20,I play for fun,having fun,Male,23,Student at college / university,High school diploma (or equivalent),France,France
121,Very difficult,51-75%,1,League of Legends,PC,28,I play for fun,having fun,Male,21,Employed,High school diploma (or equivalent),UK,UK
122,Not difficult at all,1-25%,3,League of Legends,PC,40,I play for fun,improving,Male,23,Unemployed / between jobs,High school diploma (or equivalent),Argentina,Argentina
123,Somewhat difficult,26-50%,1,League of Legends,PC,30,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),Germany,Germany
124,Not difficult at all,1-25%,5,League of Legends,PC,30,I play for fun,winning,Male,18,Employed,High school diploma (or equivalent),Germany,Germany
125,Somewhat difficult,26-50%,2,Other,PC,30,I play for fun,improving,Female,20,Student at college / university,High school diploma (or equivalent),Colombia,Germany
126,Not difficult at all,1-25%,6,League of Legends,PC,17,I play for fun,improving,Male,27,Employed,High school diploma (or equivalent),Estonia,Estonia
127,Not difficult at all,1-25%,3,League of Legends,PC,30,I play for fun,having fun,Male,20,Employed,High school diploma (or equivalent),UK,UK
128,Somewhat difficult,26-50%,3,League of Legends,PC,7,I play for fun,having fun,Male,34,Employed,Master (or equivalent),Germany,Germany
129,Somewhat difficult,26-50%,1,Starcraft 2,PC,14,I play for fun,winning,Male,19,Unemployed / between jobs,High school diploma (or equivalent),Russia,Russia
130,Somewhat difficult,26-50%,5,League of Legends,PC,30,I play for fun,having fun,Male,21,Student at college / university,Bachelor (or equivalent),Slovakia,Czech Republic
131,Somewhat difficult,26-50%,4,League of Legends,PC,25,I play for fun,having fun,Male,20,Unemployed / between jobs,Bachelor (or equivalent),Netherlands,Netherlands
132,Not difficult at all,1-25%,6,League of Legends,PC,10,I play for fun,having fun,Female,20,Student at college / university,High school diploma (or equivalent),Lithuania,Lithuania
133,Somewhat difficult,26-50%,5,World of Warcraft,PC,45,I play for fun,improving,Male,35,Employed,None,UK,Ireland
135,Somewhat difficult,26-50%,5,League of Legends,PC,40,I play for fun,having fun,Female,18,Student at school,High school diploma (or equivalent),Norway,Norway
136,Not difficult at all,1-25%,7,League of Legends,PC,12,I play for fun,improving,Male,25,Employed,"Ph.D., Psy. D., MD (or equivalent)",Germany,Germany
137,Somewhat difficult,26-50%,5,League of Legends,PC,16,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Sri Lanka,Japan
138,Somewhat difficult,26-50%,6,Starcraft 2,PC,13,I play for fun,improving,Male,23,Student at college / university,Master (or equivalent),Belgium,Belgium
139,Not difficult at all,1-25%,1,Counter Strike,PC,20,I play for fun,having fun,Male,19,Student at school,None,Switzerland,Switzerland
140,Not difficult at all,1-25%,4,League of Legends,PC,16,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),UK,UK
141,Extremely difficult,76-100%,2,Other,Smartphone / Tablet,10,I play for fun,improving,Male,36,Employed,High school diploma (or equivalent),Canada,Canada
142,Not difficult at all,1-25%,3,League of Legends,PC,12,I play for fun,improving,Male,18,Employed,High school diploma (or equivalent),UK,UK
143,Somewhat difficult,26-50%,5,League of Legends,PC,21,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Croatia,Croatia
144,Somewhat difficult,26-50%,5,League of Legends,PC,5,I play for fun,having fun,Male,23,Employed,High school diploma (or equivalent),Germany,Germany
145,Not difficult at all,1-25%,3,League of Legends,PC,40,I play for fun,improving,Male,22,Student at college / university,High school diploma (or equivalent),Finland,Finland
146,Not difficult at all,1-25%,1,Starcraft 2,PC,10,I play for fun,improving,Male,21,Student at college / university,High school diploma (or equivalent),Canada,Canada
147,Not difficult at all,1-25%,4,League of Legends,PC,11,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,18,Student at college / university,High school diploma (or equivalent),Singapore,Singapore
148,Not difficult at all,1-25%,1,Other,PC,15,I play for fun,having fun,Male,25,Employed,High school diploma (or equivalent),UK,UK
149,Not difficult at all,1-25%,6,League of Legends,PC,30,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),Belgium,Belgium
150,Somewhat difficult,26-50%,2,League of Legends,PC,12,I play for fun,winning,Male,19,Student at college / university,High school diploma (or equivalent),Argentina,Argentina
151,Not difficult at all,1-25%,7,Starcraft 2,PC,15,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),UK,UK
152,Not difficult at all,1-25%,5,League of Legends,PC,30,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,Male,24,Employed,High school diploma (or equivalent),Portugal,Portugal
153,Not difficult at all,1-25%,5,Starcraft 2,PC,20,I play for fun,improving,Male,25,Employed,Master (or equivalent),Romania,Romania
154,NA,0,3,League of Legends,PC,30,I play for fun,winning,Male,23,Unemployed / between jobs,Bachelor (or equivalent),Poland,Poland
155,Not difficult at all,1-25%,1,League of Legends,PC,21,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Germany,Germany
156,Not difficult at all,1-25%,4,League of Legends,PC,50,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",relaxing,Male,21,Student at college / university,Bachelor (or equivalent),Austria,Austria
157,Not difficult at all,1-25%,3,League of Legends,PC,20,I play for fun,having fun,Male,23,Student at college / university,High school diploma (or equivalent),Netherlands,Netherlands
158,Somewhat difficult,26-50%,3,League of Legends,PC,25,I play for fun,improving,Male,22,Employed,Bachelor (or equivalent),Germany,Germany
159,Somewhat difficult,26-50%,5,League of Legends,PC,17,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Germany,Argentina
160,Not difficult at all,1-25%,7,League of Legends,PC,50,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",Improving AND having fun (kinda wish I could pick more than one),Male,18,Unemployed / between jobs,None,Denmark,Denmark
161,Somewhat difficult,26-50%,3,Counter Strike,PC,80,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,29,Unemployed / between jobs,None,USA,UK
162,Not difficult at all,1-25%,7,Other,PC,15,I play for fun,relaxing,Male,39,Employed,Bachelor (or equivalent),Sweden,Sweden
163,Not difficult at all,1-25%,3,League of Legends,PC,10,I play for fun,improving,Male,25,Student at college / university,Bachelor (or equivalent),Germany,Germany
164,Not difficult at all,1-25%,1,Starcraft 2,PC,10,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,21,Student at college / university,Master (or equivalent),Netherlands,Denmark
165,Somewhat difficult,26-50%,1,League of Legends,PC,10,I play for fun,improving,Male,19,Employed,High school diploma (or equivalent),Sweden,Sweden
166,Not difficult at all,1-25%,4,Starcraft 2,PC,40,I play for fun,improving,Male,25,Employed,High school diploma (or equivalent),Bulgaria,UK
167,Not difficult at all,1-25%,7,League of Legends,PC,10,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),Canada,Canada
168,Somewhat difficult,26-50%,5,Starcraft 2,PC,7,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
169,Very difficult,51-75%,4,League of Legends,PC,25,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),Norway,China
170,Not difficult at all,1-25%,3,League of Legends,PC,10,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),USA,Canada
171,Somewhat difficult,26-50%,6,League of Legends,PC,20,I play for fun,having fun,Male,23,Student at college / university,Bachelor (or equivalent),Italy,Germany
173,Not difficult at all,1-25%,7,League of Legends,PC,14,I play for fun,improving,Male,29,Employed,Bachelor (or equivalent),UK,UK
174,Not difficult at all,1-25%,3,Starcraft 2,PC,30,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,22,Student at college / university,High school diploma (or equivalent),Germany,Netherlands
175,Somewhat difficult,26-50%,5,Starcraft 2,PC,15,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,29,Employed,Master (or equivalent),France,France
176,Somewhat difficult,26-50%,2,League of Legends,PC,13,I play for fun,winning,Male,18,Student at school,None,Canada,Canada
177,Somewhat difficult,26-50%,4,League of Legends,PC,20,I play for fun,improving,Male,18,Student at school,None,USA,USA
178,Somewhat difficult,26-50%,3,League of Legends,PC,12,I play for fun,having fun,Male,25,Unemployed / between jobs,Bachelor (or equivalent),UK,UK
179,Somewhat difficult,26-50%,5,League of Legends,PC,35,I play for fun,relaxing,Male,21,Student at college / university,Bachelor (or equivalent),Portugal,Portugal
180,Not difficult at all,1-25%,4,League of Legends,PC,7,I play for fun,improving,Male,19,Student at college / university,None,Unknown,Unknown
181,Not difficult at all,1-25%,4,League of Legends,PC,30,I play for fun,improving,Male,21,Student at college / university,Bachelor (or equivalent),Germany,Germany
182,Somewhat difficult,26-50%,3,Destiny,"Console (PS, Xbox, ...)",14,I play for fun,having fun,Male,29,Employed,"Ph.D., Psy. D., MD (or equivalent)",UK,UK
183,Somewhat difficult,26-50%,5,League of Legends,PC,10,I play for fun,having fun,Female,20,Student at college / university,High school diploma (or equivalent),Denmark,Denmark
184,Not difficult at all,1-25%,3,League of Legends,PC,70,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,19,Student at college / university,High school diploma (or equivalent),Croatia,Serbia
185,Somewhat difficult,26-50%,3,League of Legends,PC,40,I play for fun,all of the above,Male,18,Student at school,High school diploma (or equivalent),Sweden,Sweden
186,NA,0,6,Starcraft 2,PC,15,I play for fun,improving,Male,29,Employed,"Ph.D., Psy. D., MD (or equivalent)",Canada,Switzerland
187,Somewhat difficult,26-50%,1,League of Legends,PC,8,I play for fun,improving,Male,21,Student at college / university,Bachelor (or equivalent),Morocco,Morocco
188,Not difficult at all,1-25%,2,League of Legends,PC,8,I play for fun,improving,Male,23,Employed,Master (or equivalent),USA,USA
189,Not difficult at all,1-25%,6,League of Legends,PC,30,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,Male,19,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
190,Somewhat difficult,26-50%,3,Starcraft 2,PC,0,I play for fun,winning,Male,29,Employed,High school diploma (or equivalent),Australia,Australia
191,Not difficult at all,1-25%,1,League of Legends,PC,40,I play for fun,having fun,Male,21,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
192,Not difficult at all,1-25%,3,League of Legends,PC,21,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,Male,18,Student at school,None,France,France
194,Somewhat difficult,26-50%,7,League of Legends,PC,50,I play for fun,improving,Male,18,Student at school,None,USA,USA
195,Somewhat difficult,26-50%,2,League of Legends,PC,20,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Germany,Germany
197,Not difficult at all,1-25%,6,League of Legends,PC,12,I play for fun,improving,Male,31,Employed,High school diploma (or equivalent),Netherlands,Netherlands
198,NA,0,7,Starcraft 2,PC,25,I play for fun,improving,Male,25,Student at college / university,Master (or equivalent),Sweden,Sweden
199,Somewhat difficult,26-50%,3,Other,PC,13,I play for fun,improving,Male,25,Employed,Bachelor (or equivalent),USA,USA
200,Very difficult,51-75%,1,League of Legends,PC,20,I intend to do both if I become good enough at some point.,having fun,Male,19,Student at college / university,Bachelor (or equivalent),Poland,Poland
201,Not difficult at all,1-25%,2,League of Legends,PC,8,I play for fun,improving,Male,24,Employed,Bachelor (or equivalent),Germany,Germany
202,Not difficult at all,1-25%,2,Starcraft 2,PC,8,I play for fun,improving,Male,26,Employed,Bachelor (or equivalent),USA,USA
203,NA,0,1,League of Legends,PC,18,I play for fun,improving,Male,18,Student at school,None,USA,USA
